"MyUnknownColumn","Mat","Inns","Balls","Runs","Wkts","BBI","Ave","Econ","SR","4","5","start","end","name","country"
41,325,207,8883,6761,195,"4/33",34.67,4.56,45.5,3,0,1986,2002,"SR Waugh","AUS"
42,227,203,9573,6958,193,"4/34",36.05,4.36,49.6,3,0,1987,2003,"CL Hooper","WI"
43,171,164,7336,5751,192,"6/49",29.95,4.7,38.2,1,6,1996,2004,"L Klusener","SA"
44,117,114,5760,4761,188,"5/21",25.32,4.95,30.6,7,2,2007,2018,"M Morkel","SA"
45,147,141,6507,5648,187,"6/27",30.2,5.2,34.7,3,1,2001,2012,"CRD Fernando","SL"
46,140,138,7021,6373,186,"7/33",34.26,5.44,37.7,4,3,2008,2019,"TG Southee","NZ"
47,113,112,6000,4182,184,"5/24",22.72,4.18,32.6,6,2,2008,2015,"Saeed Ajmal","PAK"
48,163,159,8012,5721,182,"7/37",31.43,4.28,44.0,2,4,1988,1998,"Aaqib Javed","PAK"
49,175,153,7461,4844,182,"6/14",26.61,3.89,40.9,3,1,1974,1992,"Imran Khan","PAK"
50,159,155,8029,6552,181,"5/36",36.19,4.89,44.3,7,1,2009,2019,"RA Jadeja","INDIA"
51,130,128,6064,5253,179,"6/42",29.34,5.19,33.8,4,2,2003,2016,"Umar Gul","PAK"
52,121,121,6109,5364,178,"5/23",30.13,5.26,34.3,9,1,2006,2016,"SCJ Broad","ENG"
53,116,116,5759,4240,174,"5/47",24.36,4.41,33.0,5,2,2001,2009,"NW Bracken","AUS"
54,107,104,5541,4297,173,"7/45",24.83,4.65,32.0,7,3,2011,2019,"Imran Tahir","SA"
55,160,154,6911,5047,173,"5/26",29.17,4.38,39.9,3,2,2001,2012,"JDP Oram","NZ"
56,120,118,5855,5142,173,"5/27",29.72,5.26,33.8,5,2,2004,2012,"IK Pathan","INDIA"
57,85,85,4315,3611,172,"6/28",20.99,5.02,25.0,11,7,2010,2019,"MA Starc","AUS"
58,161,152,5711,5556,171,"6/44",32.49,5.83,33.3,5,4,2009,2019,"NLTC Perera","SL"
59,141,119,5624,4121,169,"5/19",24.38,4.39,33.2,6,2,1999,2009,"A Flintoff","ENG"
60,190,163,6466,5342,168,"4/36",31.79,4.95,38.4,3,0,2002,2015,"SR Watson","AUS"
61,301,199,7424,5926,167,"5/46",35.48,4.78,44.4,3,1,1999,2019,"CH Gayle","WI"
62,89,89,4884,4111,164,"7/34",25.06,5.05,29.7,7,5,2012,2019,"TA Boult","NZ"
63,144,142,7543,5361,161,"5/36",33.29,4.26,46.8,3,1,1989,2003,"Mushtaq Ahmed","PAK"
64,115,112,6182,3407,158,"5/25",21.56,3.3,39.1,1,5,1973,1990,"Sir RJ Hadlee","NZ"
65,287,217,7958,6192,158,"4/19",39.18,4.66,50.3,1,0,1999,2019,"Shoaib Malik","PAK"
66,136,134,7175,4233,157,"4/18",26.96,3.53,45.7,6,0,1980,1992,"MD Marshall","WI"
67,120,120,5751,4981,157,"6/23",31.72,5.19,36.6,5,2,2001,2011,"A Nehra","INDIA"
68,130,127,6360,4534,157,"5/33",28.87,4.27,40.5,4,2,1984,1996,"M Prabhakar","INDIA"
69,123,113,5564,4188,156,"5/32",26.84,4.51,35.6,3,2,1996,2008,"GB Hogg","AUS"
70,463,270,8054,6850,154,"5/32",44.48,5.1,52.2,4,2,1989,2012,"SR Tendulkar","INDIA"
71,87,84,4154,3324,152,"6/13",21.86,4.8,27.3,7,3,2008,2015,"BAW Mendis","SL"
72,147,136,6142,4818,151,"5/61",31.9,4.7,40.6,4,1,1994,2007,"UDU Chandana","SL"
73,111,109,6021,4937,150,"4/25",32.91,4.91,40.1,1,0,2010,2017,"R Ashwin","INDIA"
74,82,80,4295,3070,147,"6/19",20.88,4.28,29.2,7,4,2002,2010,"SE Bond","NZ"
75,98,98,5330,2752,146,"5/31",18.84,3.09,36.5,2,3,1977,1987,"J Garner","WI"
76,116,115,6271,4139,145,"4/31",28.54,3.96,43.2,3,0,1976,1992,"IT Botham","ENG"
77,136,129,5649,4335,145,"4/25",29.89,4.6,38.9,5,0,1996,2014,"TM Odoyo","KENYA"
78,99,93,4851,4547,143,"5/27",31.79,5.62,33.9,7,2,2009,2019,"AU Rashid","ENG"
79,97,96,5144,3611,142,"5/22",25.42,4.21,36.2,3,3,1996,2005,"JN Gillespie","AUS"
80,102,102,5473,3034,142,"5/26",21.36,3.32,38.5,5,1,1976,1987,"MA Holding","WI"
81,99,95,4638,4327,142,"6/45",30.47,5.59,32.6,9,3,2011,2019,"CR Woakes","ENG"
82,114,112,6065,3618,140,"5/34",25.84,3.57,43.3,3,1,1979,1989,"EJ Chatfield","NZ"
83,218,177,7733,5400,139,"4/41",38.84,4.18,55.6,1,0,2003,2019,"Mohammad Hafeez","PAK"
84,141,134,7009,4998,138,"4/37",36.21,4.27,50.7,1,0,1994,2004,"HDPK Dharmasena","SL"
85,188,161,6114,4839,137,"6/25",35.32,4.74,44.6,4,1,1999,2011,"SB Styris","NZ"
86,73,72,3709,3400,136,"5/69",25.0,5.5,27.2,8,1,2013,2019,"Mohammed Shami","INDIA"
87,109,105,4640,3789,135,"6/14",28.06,4.89,34.3,4,2,2004,2016,"MF Maharoof","SL"
88,89,87,4137,4010,135,"5/52",29.7,5.81,30.6,6,1,2005,2019,"LE Plunkett","ENG"
89,88,88,4619,3402,134,"5/36",25.38,4.41,34.4,4,1,1994,2001,"DW Fleming","AUS"
90,112,108,5179,4777,133,"5/27",35.91,5.53,38.9,4,2,2013,2019,"JO Holder","WI"
91,71,67,3558,2467,133,"7/18",18.54,4.16,26.7,4,4,2015,2019,"Rashid Khan","not found"
92,198,158,5935,4955,133,"5/18",37.25,5.0,44.6,2,1,1998,2009,"A Symonds","AUS"
93,164,160,8571,6239,133,"5/36",46.9,4.36,64.4,2,1,2004,2015,"P Utseya","ZIM"
94,104,100,5100,3454,132,"5/44",26.16,4.06,38.6,4,2,1983,1993,"Abdul Qadir","PAK"
95,114,113,5451,4568,132,"5/42",34.6,5.02,41.2,4,1,2012,2019,"B Kumar","INDIA"
96,108,107,5480,4218,130,"5/29",32.44,4.61,42.1,3,3,1997,2005,"M Dillon","WI"
97,124,120,5919,4231,130,"4/30",32.54,4.28,45.5,3,0,2009,2019,"Mohammad Nabi","not found"
98,150,136,6613,4650,129,"5/15",36.04,4.21,51.2,2,1,1981,1992,"RJ Shastri","INDIA"
99,90,88,4341,3780,128,"5/48",29.53,5.22,33.9,3,1,2003,2017,"JE Taylor","WI"
