,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,start,end,name,country
288,126,126,126,91,35,91,0,5 (3ct 2st),1.0,1995,2006,Khaled Mashud ,BDESH
289,330,325,124,123,1,5,118,3 (3ct 0st),0.381,1999,2016,TM Dilshan ,SL
290,301,294,124,124,0,0,124,3 (3ct 0st),0.421,1999,2019,CH Gayle ,WI
291,242,240,124,124,0,0,124,3 (3ct 0st),0.516,2008,2019,V Kohli ,INDIA
292,92,92,124,120,4,120,0,5 (5ct 0st),1.347,1971,1984,RW Marsh ,AUS
293,445,441,123,123,0,0,123,3 (3ct 0st),0.278,1989,2011,ST Jayasuriya ,SL
294,227,225,120,120,0,0,120,4 (4ct 0st),0.5329999999999999,1987,2003,CL Hooper ,WI
295,299,296,120,120,0,0,120,3 (3ct 0st),0.405,1990,2007,BC Lara ,WI
296,85,83,117,105,12,105,0,4 (4ct 0st),1.409,2008,2017,L Ronchi ,AUS
297,94,94,117,108,9,108,0,5 (5ct 0st),1.244,2012,2017,MS Wade ,AUS
298,378,373,113,113,0,0,113,3 (3ct 0st),0.302,1991,2007,Inzamam-ul-Haq ,PAK
299,325,324,111,111,0,0,111,3 (3ct 0st),0.342,1986,2002,SR Waugh ,AUS
300,404,397,501,402,99,383,19,5 (4ct 1st),1.261,2000,2015,KC Sangakkara ,SL
301,287,286,472,417,55,417,0,6 (6ct 0st),1.65,1996,2008,AC Gilchrist ,AUS
302,350,345,444,321,123,321,0,6 (5ct 1st),1.286,2004,2019,MS Dhoni ,INDIA
303,295,291,425,403,22,402,1,6 (6ct 0st),1.46,1998,2011,MV Boucher ,SA
304,219,217,287,214,73,214,0,5 (5ct 0st),1.3219999999999998,1990,2004,Moin Khan ,PAK
305,260,257,277,262,15,227,35,5 (5ct 0st),1.077,2002,2016,BB McCullum ,NZ
306,168,168,233,194,39,194,0,4 (4ct 0st),1.386,1988,1997,IA Healy ,AUS
307,216,215,225,181,44,179,2,5 (5ct 0st),1.046,2006,2019,Mushfiqur Rahim ,BDESH
308,166,164,220,182,38,182,0,5 (5ct 0st),1.341,1992,2003,Rashid Latif ,PAK
309,448,443,218,218,0,0,218,4 (4ct 0st),0.492,1998,2015,DPMD Jayawardene ,SL
310,344,341,210,196,14,72,124,4 (4ct 0st),0.615,1996,2011,R Dravid ,INDIA
311,189,188,207,132,75,131,1,5 (4ct 1st),1.101,1990,2004,RS Kaluwitharana ,SL
312,169,168,204,183,21,183,0,4 (4ct 0st),1.214,1981,1991,PJL Dujon ,WI
313,142,138,202,171,31,171,0,6 (6ct 0st),1.463,2012,2019,JC Buttler ,ENG
314,147,145,189,160,29,160,0,6 (5ct 1st),1.3030000000000002,1996,2004,RD Jacobs ,WI
315,157,154,188,157,31,156,1,5 (4ct 1st),1.22,2002,2017,Kamran Akmal ,PAK
316,139,137,188,181,7,181,0,5 (5ct 0st),1.372,2005,2016,D Ramdin ,WI
317,228,223,181,176,5,93,83,5 (5ct 0st),0.8109999999999999,2005,2018,AB de Villiers ,SA
318,126,124,181,170,11,170,0,5 (5ct 0st),1.459,2001,2015,BJ Haddin ,AUS
319,170,169,174,159,15,148,11,6 (6ct 0st),1.029,1989,2003,AJ Stewart ,ENG
320,213,212,173,141,32,133,8,5 (5ct 0st),0.816,1992,2003,A Flower ,ZIM
321,115,111,166,158,8,158,0,6 (5ct 1st),1.495,2013,2019,Q de Kock ,SA
322,122,121,165,148,17,148,0,5 (5ct 0st),1.3630000000000002,1991,1998,DJ Richardson ,SA
323,375,372,160,160,0,0,160,3 (3ct 0st),0.43,1995,2012,RT Ponting ,AUS
324,334,332,156,156,0,0,156,4 (4ct 0st),0.469,1985,2000,M Azharuddin ,INDIA
325,140,139,154,110,44,110,0,5 (4ct 1st),1.107,1994,2000,NR Mongia ,INDIA
326,193,193,154,125,29,96,29,5 (5ct 0st),0.797,2004,2019,BRM Taylor ,ZIM
327,150,150,147,114,33,112,2,4 (4ct 0st),0.98,2001,2012,T Taibu ,ZIM
328,179,178,141,116,25,111,5,5 (3ct 2st),0.792,1992,2002,AC Parore ,NZ
329,116,114,140,116,24,116,0,6 (6ct 0st),1.228,2007,2019,Sarfaraz Ahmed ,PAK
330,463,456,140,140,0,0,140,4 (4ct 0st),0.307,1989,2012,SR Tendulkar ,INDIA
331,228,224,137,137,0,0,137,4 (4ct 0st),0.611,2006,2019,LRPL Taylor ,NZ
332,265,260,135,135,0,5,130,4 (4ct 0st),0.519,2000,2015,Younis Khan ,PAK
333,280,276,133,133,0,0,133,4 (4ct 0st),0.481,1994,2007,SP Fleming ,NZ
334,328,324,131,131,0,0,131,3 (3ct 0st),0.4039999999999999,1996,2014,JH Kallis ,SA
335,350,347,130,130,0,0,130,3 (3ct 0st),0.374,1993,2011,M Muralitharan ,SL
336,273,270,127,127,0,0,127,3 (3ct 0st),0.47,1979,1994,AR Border ,AUS
337,398,392,127,127,0,0,127,2 (2ct 0st),0.3229999999999999,1996,2015,Shahid Afridi ,PAK
338,126,126,126,91,35,91,0,5 (3ct 2st),1.0,1995,2006,Khaled Mashud ,BDESH
339,330,325,124,123,1,5,118,3 (3ct 0st),0.381,1999,2016,TM Dilshan ,SL
340,301,294,124,124,0,0,124,3 (3ct 0st),0.421,1999,2019,CH Gayle ,WI
341,242,240,124,124,0,0,124,3 (3ct 0st),0.516,2008,2019,V Kohli ,INDIA
342,92,92,124,120,4,120,0,5 (5ct 0st),1.347,1971,1984,RW Marsh ,AUS
343,445,441,123,123,0,0,123,3 (3ct 0st),0.278,1989,2011,ST Jayasuriya ,SL
344,227,225,120,120,0,0,120,4 (4ct 0st),0.5329999999999999,1987,2003,CL Hooper ,WI
345,299,296,120,120,0,0,120,3 (3ct 0st),0.405,1990,2007,BC Lara ,WI
346,85,83,117,105,12,105,0,4 (4ct 0st),1.409,2008,2017,L Ronchi ,AUS
347,94,94,117,108,9,108,0,5 (5ct 0st),1.244,2012,2017,MS Wade ,AUS
348,378,373,113,113,0,0,113,3 (3ct 0st),0.302,1991,2007,Inzamam-ul-Haq ,PAK
349,325,324,111,111,0,0,111,3 (3ct 0st),0.342,1986,2002,SR Waugh ,AUS
350,404,397,501,402,99,383,19,5 (4ct 1st),1.261,2000,2015,KC Sangakkara ,SL
351,287,286,472,417,55,417,0,6 (6ct 0st),1.65,1996,2008,AC Gilchrist ,AUS
352,350,345,444,321,123,321,0,6 (5ct 1st),1.286,2004,2019,MS Dhoni ,INDIA
353,295,291,425,403,22,402,1,6 (6ct 0st),1.46,1998,2011,MV Boucher ,SA
354,219,217,287,214,73,214,0,5 (5ct 0st),1.3219999999999998,1990,2004,Moin Khan ,PAK
355,260,257,277,262,15,227,35,5 (5ct 0st),1.077,2002,2016,BB McCullum ,NZ
356,168,168,233,194,39,194,0,4 (4ct 0st),1.386,1988,1997,IA Healy ,AUS
357,216,215,225,181,44,179,2,5 (5ct 0st),1.046,2006,2019,Mushfiqur Rahim ,BDESH
358,166,164,220,182,38,182,0,5 (5ct 0st),1.341,1992,2003,Rashid Latif ,PAK
359,448,443,218,218,0,0,218,4 (4ct 0st),0.492,1998,2015,DPMD Jayawardene ,SL
360,344,341,210,196,14,72,124,4 (4ct 0st),0.615,1996,2011,R Dravid ,INDIA
361,189,188,207,132,75,131,1,5 (4ct 1st),1.101,1990,2004,RS Kaluwitharana ,SL
362,169,168,204,183,21,183,0,4 (4ct 0st),1.214,1981,1991,PJL Dujon ,WI
363,142,138,202,171,31,171,0,6 (6ct 0st),1.463,2012,2019,JC Buttler ,ENG
364,147,145,189,160,29,160,0,6 (5ct 1st),1.3030000000000002,1996,2004,RD Jacobs ,WI
365,157,154,188,157,31,156,1,5 (4ct 1st),1.22,2002,2017,Kamran Akmal ,PAK
366,139,137,188,181,7,181,0,5 (5ct 0st),1.372,2005,2016,D Ramdin ,WI
367,228,223,181,176,5,93,83,5 (5ct 0st),0.8109999999999999,2005,2018,AB de Villiers ,SA
368,126,124,181,170,11,170,0,5 (5ct 0st),1.459,2001,2015,BJ Haddin ,AUS
369,170,169,174,159,15,148,11,6 (6ct 0st),1.029,1989,2003,AJ Stewart ,ENG
370,213,212,173,141,32,133,8,5 (5ct 0st),0.816,1992,2003,A Flower ,ZIM
371,115,111,166,158,8,158,0,6 (5ct 1st),1.495,2013,2019,Q de Kock ,SA
372,122,121,165,148,17,148,0,5 (5ct 0st),1.3630000000000002,1991,1998,DJ Richardson ,SA
373,375,372,160,160,0,0,160,3 (3ct 0st),0.43,1995,2012,RT Ponting ,AUS
374,334,332,156,156,0,0,156,4 (4ct 0st),0.469,1985,2000,M Azharuddin ,INDIA
375,140,139,154,110,44,110,0,5 (4ct 1st),1.107,1994,2000,NR Mongia ,INDIA
376,193,193,154,125,29,96,29,5 (5ct 0st),0.797,2004,2019,BRM Taylor ,ZIM
377,150,150,147,114,33,112,2,4 (4ct 0st),0.98,2001,2012,T Taibu ,ZIM
378,179,178,141,116,25,111,5,5 (3ct 2st),0.792,1992,2002,AC Parore ,NZ
379,116,114,140,116,24,116,0,6 (6ct 0st),1.228,2007,2019,Sarfaraz Ahmed ,PAK
380,463,456,140,140,0,0,140,4 (4ct 0st),0.307,1989,2012,SR Tendulkar ,INDIA
381,228,224,137,137,0,0,137,4 (4ct 0st),0.611,2006,2019,LRPL Taylor ,NZ
382,265,260,135,135,0,5,130,4 (4ct 0st),0.519,2000,2015,Younis Khan ,PAK
